"","agua.HH","floresta_inundavel.HH","floresta_terrafirme.HH","macrofitas_emergentes.HH","macrofitas_flutuantes.HH","solo.HH","arbustos_inundaveis.HH","agua.HV","floresta_inundavel.HV","floresta_terrafirme.HV","macrofitas_emergentes.HV","macrofitas_flutuantes.HV","solo.HV","arbustos_inundaveis.HV"
"1",0.06,0.12,0.19,0.3,0.29,0.31,0.12,0,0.04,0.05,0.05,0.01,0.07,0.09
"2",0.03,0.13,0.39,0.16,0.48,0.12,0.48,0,0.06,0.13,0.05,0.03,0,0.03
"3",0.05,0.24,0.16,0.14,0.35,0.31,0.12,0,0.11,0.02,0.04,0.04,0.02,0.08
"4",0.03,0.11,0.18,0.21,0.2,0.23,0.27,0,0.02,0.06,0.09,0.02,0.04,0.07
"5",0.07,0.24,0.17,0.06,0.2,0.17,0.08,0,0.03,0.03,0.05,0.05,0.01,0.09
"6",0.04,0.21,0.21,0.25,0.32,0.21,0.59,0,0.04,0.15,0.02,0.01,0.02,0.02
"7",0.02,0.28,0.07,0.27,0.3,0.19,0.37,0,0.05,0.04,0.02,0.02,0.02,0.12
"8",0.06,0.33,0.11,0.09,0.32,0.14,0.37,0,0.09,0.07,0.03,0.01,0.06,0.07
"9",0.08,0.08,0.11,0.11,0.21,0.31,0.11,0,0.09,0.04,0.04,0.1,0.03,0.04
"10",0.04,0.04,0.19,0.13,0.07,0.14,0.13,0,0.09,0.06,0,0.04,0.02,0.03
"11",0.07,0.03,0.16,0.19,0.05,0.11,0.24,0,0.11,0.02,0.04,0.01,0.02,0.09
"12",0.03,0.19,0.11,0.25,0.26,0.06,0.32,0,0.04,0.08,0.05,0.01,0.02,0.12
"13",0.05,0.16,0.06,0.34,0.22,0.15,0.13,0,0.09,0.11,0.03,0.03,0.03,0.05
"14",0.09,0.18,0.2,0.14,0.14,0.42,0.3,0,0.08,0.12,0.05,0.14,0.03,0.03
"15",0.02,0.16,0.22,0.23,0.11,0.17,0.63,0,0.06,0.06,0.02,0.07,0.01,0.07
"16",0.04,0.51,0.29,0.07,0.31,0.18,0.37,0,0.08,0.05,0.02,0.05,0.03,0.12
"17",0.04,0.2,0.21,0.27,0.04,0.13,0.19,0.01,0.1,0.08,0.08,0.04,0.03,0.07
"18",0.01,0.26,0.25,0.09,0.02,0.11,0.31,0,0.04,0.03,0.03,0.09,0.02,0.06
"19",0.04,0.39,0.51,0.22,0.04,0.13,0.25,0,0.05,0.07,0.03,0.06,0.03,0.06
"20",0.01,0.19,0.63,0.23,0.11,0.12,0.29,0,0.04,0.05,0.03,0.01,0.01,0.04
"21",0.02,0.24,0.25,0.1,0.1,0.29,0.44,0,0.06,0.09,0.02,0.05,0.06,0.02
"22",0.06,0.08,0.4,0.12,0.09,0.17,0.53,0,0.05,0.06,0.04,0.02,0.01,0.05
"23",0.06,0.35,0.09,0.25,0.15,0.34,0.19,0,0.03,0.06,0.06,0.06,0.02,0.03
"24",0.05,0.27,0.21,0.13,0.23,0.04,0.28,0,0.15,0.03,0.01,0.05,0.01,0.05
"25",0.1,0.48,0.33,0.13,0.47,0.09,0.21,0,0.1,0.04,0.01,0.01,0.08,0.06
"26",0.06,0.09,0.35,0.11,0.07,0.21,0.22,0,0.04,0.04,0.02,0.06,0.06,0.02
"27",0.03,0.13,0.57,0.27,0.27,0.18,0.94,0,0.06,0.04,0.03,0.02,0.02,0.1
"28",0.02,0.21,0.22,0.52,0.11,0.09,0.6,0,0.07,0.05,0.02,0.09,0.04,0.07
"29",0.02,0.12,0.18,0.31,0.3,0.28,0.39,0,0.03,0.06,0.06,0.01,0.04,0.03
"30",0.03,0.18,0.28,0.15,0.33,0.19,0.5,0,0.04,0.03,0.03,0.02,0.01,0.06
"31",0.02,0.14,0.22,0.16,0.13,0.03,0.23,0,0.06,0.04,0.03,0.02,0.11,0.14
"32",0.02,0.23,0.41,0.17,0.21,0.13,0.06,0,0.02,0.04,0.07,0.02,0.02,0.09
"33",0.1,0.27,0.22,0.1,0.1,0.4,0.26,0,0.02,0.05,0.02,0.07,0.02,0.03
"34",0.02,0.1,0.26,0.13,0.3,0.27,0.23,0,0.09,0.03,0.03,0.05,0.01,0.16
