"","sens","modo","pol","classe","data","sigma0"
"1","R2","S1","HH","agua",2011-07-06,0.1
"2","R2","S1","HH","agua",2011-07-06,0.1
"3","R2","S1","HH","agua",2011-07-06,0.23
"4","R2","S1","HH","agua",2011-07-06,0.17
"5","R2","S1","HH","agua",2011-07-06,0.07
"6","R2","S1","HH","agua",2011-07-06,0.08
"7","R2","S1","HH","agua",2011-07-06,0.18
"8","R2","S1","HH","agua",2011-07-06,0.02
"9","R2","S1","HH","agua",2011-07-06,0.08
"10","R2","S1","HH","agua",2011-07-06,0.06
"11","R2","S1","HH","agua",2011-07-06,0.03
"12","R2","S1","HH","agua",2011-07-06,0.13
"13","R2","S1","HH","agua",2011-07-06,0.09
"14","R2","S1","HH","agua",2011-07-06,0.36
"15","R2","S1","HH","agua",2011-07-06,0.12
"16","R2","S1","HH","agua",2011-07-06,0.29
"17","R2","S1","HH","agua",2011-07-06,0.03
"18","R2","S1","HH","agua",2011-07-06,0.02
"19","R2","S1","HH","agua",2011-07-06,0.04
"20","R2","S1","HH","agua",2011-07-06,0.24
"21","R2","S1","HH","agua",2011-07-06,0.14
"22","R2","S1","HH","agua",2011-07-06,0.25
"23","R2","S1","HH","agua",2011-07-06,0.02
"24","R2","S1","HH","agua",2011-07-06,0.13
"25","R2","S1","HH","agua",2011-07-06,0.03
"26","R2","S1","HH","agua",2011-07-06,0.09
"27","R2","S1","HH","agua",2011-07-06,0.08
"28","R2","S1","HH","agua",2011-07-06,0.3
"29","R2","S1","HH","agua",2011-07-06,0.12
"30","R2","S1","HH","agua",2011-07-06,0.03
"31","R2","S1","HH","agua",2011-07-06,0.17
"32","R2","S1","HH","agua",2011-07-06,0.05
"33","R2","S1","HH","agua",2011-07-06,0.05
"34","R2","S1","HH","agua",2011-07-06,0.29
"35","R2","S1","HH","agua",2011-07-06,0.05
"36","R2","S1","HH","agua",2011-07-06,0.03
"37","R2","S1","HH","agua",2011-07-06,0.18
"38","R2","S1","HH","agua",2011-07-06,0.06
"39","R2","S1","HH","agua",2011-07-06,0.15
"40","R2","S1","HH","agua",2011-07-06,0.07
"41","R2","S1","HH","agua",2011-07-06,0.26
"42","R2","S1","HH","agua",2011-07-06,0.19
"43","R2","S1","HH","agua",2011-07-06,0.15
"44","R2","S1","HH","agua",2011-07-06,0.12
"45","R2","S1","HH","agua",2011-07-06,0.17
"46","R2","S1","HH","agua",2011-07-06,0.03
"47","R2","S1","HH","agua",2011-07-06,0.45
"48","R2","S1","HH","agua",2011-07-06,0.26
"49","R2","S1","HH","agua",2011-07-06,0.25
"50","R2","S1","HH","agua",2011-07-06,0.54
"51","R2","S1","HH","agua",2011-07-06,0.1
"52","R2","S1","HH","agua",2011-07-06,0.17
"53","R2","S1","HH","agua",2011-07-06,0.19
"54","R2","S1","HH","agua",2011-07-06,0.18
"55","R2","S1","HH","agua",2011-07-06,0.01
