Interior     
Lago Tinv Tver Phinv Phver
L11 14.99188498 23.40931408 6.369547809 6.596734222
L12 14.34614105 22.81931551 5.503496493 7.395309415
L13 14.22085713 23.38768617 6.385328869 7.707618164
L14 15.43741465 22.58897413 6.738277991 6.807275391
L15 14.22804972 23.69815711 6.627230476 7.452736321
L16 14.83405086 22.29018929 6.109892492 6.772200373
L17 15.93499279 23.05716595 8.06934061 7.284371045
L18 14.1735637 22.10814642 7.034575346 6.648495129
L19 14.77561765 23.93640495 6.554036521 7.152942925
L20 14.73187696 23.67911944 6.927431538 5.929686167
