Litoral
Lago Tinv Tver Phinv Phver
L1 20.31656326 28.35344752 6.502898341 7.070166516
L2 19.63143201 27.33297354 6.822568016 7.25826828
L3 20.98822056 26.04660151 7.111183841 7.075844359
L4 20.31460797 26.13376101 7.997223481 5.27565432
L5 20.12786393 26.54129081 6.560937306 6.578379026
L6 19.93104627 26.53097123 7.455266855 8.054656582
L7 20.94821988 24.63031873 7.250789972 7.152609018
L8 21.12748046 27.25014795 7.055487512 6.768238071
L9 19.6956799 26.81994014 6.698091105 6.589594515
L10 20.0393949 27.89575424 5.918178885 6.911360072
