Montanha    
Lago Tinv Tver Phinv Phver
L21 9.82869321 22.70069675 6.782423124 7.397616958
L22 10.12583265 22.95340224 7.193959644 6.758200753
L23 10.65030712 22.88710427 6.92871725 6.26756843
L24 8.989041898 22.56496662 7.09936125 6.55404965
L25 9.809841407 21.30838901 6.563229596 7.261938094
L26 8.862461023 22.76301567 6.690464085 7.258529168
L27 9.841737973 22.07772711 6.691951297 7.073623037
L28 9.162667106 23.34277494 7.376002138 7.70662076
L29 10.9020792 20.32970725 7.984460744 7.146752858
L30 10.42708786 21.61619777 7.298284287 6.747828687
