"","sample","rich","p.inorg","p.tot.diss","p.tot","cu","cu.cens","fe","mn","mn.cens","zn","tss","iss","oss","tds","fluoride","chloride","nitrite","nitrite.cens","bromide","bromide.cens","nitrate","sulfate","lithium","sodium","ammonia","k","mg","ca","n.tot.sed","p.tot.sed","org.mat","in.mat","sand.085p","sand.085.050","sand.050.025","sand.025.0125","sand.0125.0063","silt.063.004","clay.004l","prof","temp","cond","od_p","od_mgl","ph","turb"
"1","p1",12,25,51.17,72.03,0.03,TRUE,0.4572,0.023,TRUE,0.0192,9.7,6.4,3.3,0.1,4.9,1.2,0.01,TRUE,0.01,TRUE,2.2,2.32,1.78,5.98,23.65,8.11,4.16,9.3,1.80978,0.21814658,11.6,88.4,0,0,21.94674899,29.00829635,25.62222651,15.15755901,8.265169137,-165,27.9833333333333,51.8333333333333,14.05,1.21333333333333,5.91833333333333,8.01666666666667
"10","p10",20,21.03,41.27,63.23,0.03,TRUE,0.8308,0.02,TRUE,0.0251,12.556,7,5.556,0.386,11.58,0.14,52.38,TRUE,0.01,TRUE,0.96,0.07,1.42,0.89,29.56,0.69,1.23,3.42,3.7947,0.255687296,13.135,86.86,0,0,16.58732612,25.38176198,22.21020093,29.17533029,6.645380686,-225,29.2916666666667,0.0676666666666667,32.5833333333333,2.495,6.69833333333333,0.65
"11","p11",10,25.7,89.94,113,0.03,TRUE,0.3986,0.02,TRUE,0.0191,29.542,25.847,3.694,0.466,21.67,1.48,0.01,TRUE,0.01,TRUE,88.18,4.19,2.49,7.59,48.85,6.32,5.23,12.43,3.03576,0.2232443,13.04,86.96,0,0,19.1130786,20.13565289,26.27886507,26.88429649,7.588106953,-225,28.97,0.0631666666666667,24.9416666666667,1.34,6.2675,4.56666666666667
"12","p12",9,33.32,65.81,78.32,0.03,TRUE,0.5233,0.02,TRUE,0.0168,10.7,8.6,2.1,0.437,14.93,1.49,0.01,TRUE,0.01,TRUE,115.81,3.95,2.85,6.68,14,8,5.19,12.09,1.92654,0.246436482,8.15,91.85,0,0,29.07118851,35.73683675,22.45136979,7.547745593,5.192859357,-120,27.8266666666667,0.0426666666666667,36.1,2.84333333333333,6.28666666666667,11.7666666666667
"2","p2",8,40.28,77.47,108.74,0.03,TRUE,1.2168,0.15,FALSE,0.0314,7,2.75,4.25,0.14,10.97,1.9,0.01,TRUE,0.01,TRUE,3.28,1.57,1.78,7.15,19.91,13.51,6.95,12.71,0.2919,0.162006515,7.17,92.83,0,0,23.04676754,31.26547455,25.08253095,9.232501602,11.37272536,-120,28.0233333333333,0.0133333333333333,36.3,2.85,5.79,5
"3","p3",14,26.57,53.86,63.26,0.03,TRUE,0.6937,0.02,TRUE,0.0176,7.533,5.333,2.2,0.125,2.09,1.25,0.01,TRUE,0.01,TRUE,56.29,2.65,3.56,6.06,30.8,8.83,5.11,12.19,2.80224,0.201257329,13.58,86.42,0,0,13.72309669,19.96145198,20.03854802,32.54715453,13.72974878,-225,28.36,0.0635833333333333,22.425,1.7425,6.43916666666667,32.175
"4","p4",9,26.71,87.24,126.65,0.03,TRUE,0.961,0.02,TRUE,0.0185,15.8,8.7,7.1,0.097,3.35,1.47,0.01,TRUE,0.01,TRUE,2.54,2.44,4.98,5.47,23.96,10.32,6.08,11.48,2.56872,0.276680782,13.33,86.67,0,0,21.78128163,34.95445587,24.86017152,12.72057269,5.683518288,-285,29.3675,0.06,65.75,5.035,6.81833333333333,20.7333333333333
"5","p5",21,31.09,53.21,137.26,0.03,TRUE,0.5896,0.02,TRUE,0.0239,18.1,13.6,4.5,0.125,13.68,1.23,0.01,TRUE,0.01,TRUE,1.52,3.81,1.78,6.51,6.84,6.72,5.67,12.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-165,29.4,0.0711666666666667,10.0166666666667,0.78,6.44,1.61666666666667
"6","p6",4,26.92,52.76,76.61,0.03,TRUE,0.3962,0.02,TRUE,0.0188,8.8,6.6,2.2,0.066,7.78,1.95,0.01,TRUE,0.01,TRUE,83.07,2.57,2.49,6.95,49.16,11.48,4.23,9.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-115,30.295,0.0598333333333333,67.2166666666667,5.07833333333333,6.735,13.125
"7","p7",10,30.94,48.28,66.1,0.03,TRUE,0.4139,0.02,TRUE,0.017,2.462,0.538,1.923,0.13,7.61,1.53,0.01,TRUE,0.01,TRUE,1.82,3.02,0.71,6.17,33.6,10.98,5.95,12.53,3.2109,0.285687296,14.14,85.86,0,0,25.06764168,31.19561243,28.81170018,7.247723716,7.677321988,-210,29.0133333333333,0.0643333333333333,6.73333333333333,0.52,6.50333333333333,5.1
"8","p8",22,31.9,54.03,120.1,0.03,TRUE,0.4971,0.02,TRUE,0.0209,8.6,4.2,4.4,0.156,5.33,1.07,0.01,TRUE,0.01,TRUE,2.81,2.54,3.2,6.35,14,10.43,6.34,12.85,4.3785,0.319661238,31.51,68.49,0,0,14.86486486,31.58158158,26.88313313,19.87271159,6.797708831,-135,28.3516666666667,0.061,7.9,0.62,6.285,20.55
"9","p9",18,28.08,49.51,114.32,0.03,TRUE,0.7333,0.02,TRUE,0.0158,7.6,5.2,2.4,0.489,2.09,0.39,0.01,TRUE,0.01,TRUE,15.54,1.87,1.42,4.29,27.38,4.94,4.04,8.97,2.919,0.139921824,9.5,90.5,0,0,28.94786091,30.31028933,25.11883819,10.38611515,5.236896419,-230,28.435,0.056,40.1,3.12,6.67,18.95
