"","sample","rich","p.inorg","p.tot.diss","p.tot","cu","cu.cens","fe","mn","mn.cens","zn","tss","iss","oss","tds","fluoride","chloride","nitrite","nitrite.cens","bromide","nitrate","nitrate.cens","sulfate","lithium","sodium","ammonia","k","mg","ca","n.tot","p.tot.sed","org.mat","in.mat","sand.085p","sand.085.050","sand.050.025","sand.025.0125","sand.0125.0063","silt.063.004","clay.004l","prof","temp","cond","od_p","od_mgl","ph","turb"
"1","p1",12,13.5,25.52,45.8,0.03,TRUE,0.4928,0.02,TRUE,0.0205,3.857,1.95,1.907,0.226,25.588,1.2,2,TRUE,3.777,6.353,FALSE,1.915,0,1.602,21.915,0.769,1.052,5.989,1.06,0.27,13.68,86.32,0,0,0,42.7,44.58,9.78,2.94,-210,29.3766666666667,0.0413333333333333,33.2,2.53,6.40666666666667,8.5
"10","p10",17,6.86,6.75,50.27,0.03,TRUE,0.5249,0.02,TRUE,0.0234,12.51,7.635,4.875,0.176,31.775,0.983,2,TRUE,3.41,5,TRUE,1.684,0.839,1.704,1.044,0.776,1.091,6.225,2,0.31,10.51,89.41,0,0,0,37.1,35.39,20.87,6.63,-135,28.795,0.0353333333333333,5.01666666666667,0.39,6.02666666666667,-0.5
"11","p11",17,18.97,30.49,59.55,0.03,TRUE,0.3399,0.02,TRUE,0.027,7.779,4.25,3.529,0.138,29.943,1.216,2,TRUE,3.41,53.742,FALSE,1.53,2.611,2.05,25.568,1.067,1.301,7.707,1.7,0.13,15.56,84.44,0,0,0,60.96,37.15,0.68,1.21,-210,29.2666666666667,0.042,17.8666666666667,1.36666666666667,6.27,8.93333333333333
"12","p12",17,11.55,26.66,82.81,0.03,TRUE,0.3829,0.02,TRUE,0.0286,16.125,10.833,5.292,0.14,37.746,1.252,2,TRUE,4.113,54.152,FALSE,1.874,0,1.495,81.399,0.814,1.067,6.367,0.85,0.29,10.6,89.4,0,0,0,54.64,43.29,1.44,0.63,-150,29.2,0.042,39.3,3.01,6.42,11.3
"13","p13",19,12.63,19.87,61.21,0.03,TRUE,0.2818,0.02,TRUE,0.033,5.429,3.286,2.143,0.203,31.488,0.353,2,TRUE,3.777,5,TRUE,0.564,0.56,0.403,12.523,0.136,0.478,2.683,4.25,0.05,24.66,75.34,0,0,0,48.94,46.07,3.89,1.1,-90,29.355,0.042,28.1,2.14666666666667,6.23666666666667,9.23333333333333
"14","p14",4,9.29,14.64,49.16,0.03,TRUE,0.1976,0.02,TRUE,0.0207,17.401,9.258,8.143,0.12,25.417,0.897,2,TRUE,3.41,31.882,FALSE,1.03,1.586,1.349,33.394,0.975,1.013,5.56,5.04,0.12,32.96,67.04,0,0,0,62.64,33.92,2,1.44,-180,29.6656666666667,0.041,26.9,2.04666666666667,6.27666666666667,8.5
"15","p15",15,7.73,20.49,41.5,0.03,TRUE,0.202,0.02,TRUE,0.0231,6.685,2.137,4.548,0.115,18.367,0.835,2,TRUE,3.41,5,TRUE,1.126,2.238,1.612,20.872,0.875,1.081,6.202,3.83,0.35,17.4,82.6,0,0,0,34.72,37.75,24.42,3.11,-195,28.955,0.042,18.7333333333333,1.44166666666667,6.23,10.5
"16","p16",17,13.52,22.47,41.86,0.03,TRUE,0.3603,0.02,TRUE,0.0194,5.537,3.01,2.527,0.11,30.657,2.685,2,TRUE,4.51,187.471,FALSE,2.187,2.425,2.262,84.008,1.315,1.239,7.204,1.91,0.26,15.58,84.42,0,0,0,32.34,41.33,23.41,2.92,-150,29.2133333333333,0.0423333333333333,12.7,0.95,6.19,1.56666666666667
"17","p17",12,9.5,19.25,68.25,0.03,TRUE,0.2185,0.02,TRUE,0.0232,9.25,5.875,3.375,0.096,26.62,1.127,2,TRUE,3.41,219.781,FALSE,1.622,1.586,1.586,285.418,0.735,1.076,6.467,1.17,0.4,32.19,67.81,0,0,0,29.33,59.24,9.86,1.57,-150,28.98,0.044,5,0.383333333333333,6.18,52.5
"18","p18",16,7.7,10.23,74.83,0.03,TRUE,0.1962,0.02,TRUE,0.0191,4.028,3.255,0.773,0.103,21.403,0.264,2,TRUE,3.41,5,TRUE,0.395,2.145,0.445,15.654,0.149,0.37,2.518,4.24,0.41,20.86,79.14,0,0,0,53.55,42.72,2.21,1.52,-180,29.6966666666667,0.042,47.4333333333333,3.6,6.42,18.2
